ShiftDate,ClinicName,ClinicCity,ClinicState,ShiftID,ShiftStart,ShiftEnd,DoctorFullName,HoursWorked
2005-01-01,Bellevue,Bellevue,WA,1,09:00:00,17:00:00,George Abercrombie,8
2005-01-01,Bellevue,Bellevue,WA,1,09:00:00,17:00:00,George Abercrombie,8
2005-01-01,Bellevue,Bellevue,WA,1,09:00:00,17:00:00,George Abercrombie,8
2005-01-01,Bellevue,Bellevue,WA,1,09:00:00,17:00:00,George Abercrombie,8
2005-01-01,Bellevue,Bellevue,WA,2,13:00:00,21:00:00,Michael John Greer,8
2005-01-01,Bellevue,Bellevue,WA,2,13:00:00,21:00:00,Michael John Greer,8
2005-01-01,Bellevue,Bellevue,WA,2,13:00:00,21:00:00,Michael John Greer,8
2005-01-01,Bellevue,Bellevue,WA,2,13:00:00,21:00:00,Michael John Greer,8
2005-01-01,Kirkland,Kirkland,WA,1,09:00:00,17:00:00,Laura German,8
2005-01-01,Kirkland,Kirkland,WA,1,09:00:00,17:00:00,Laura German,8
2005-01-01,Kirkland,Kirkland,WA,1,09:00:00,17:00:00,Laura German,8
2005-01-01,Kirkland,Kirkland,WA,1,09:00:00,17:00:00,Laura German,8
2005-01-01,Kirkland,Kirkland,WA,2,13:00:00,21:00:00,Ben Goldstein,8
2005-01-01,Kirkland,Kirkland,WA,2,13:00:00,21:00:00,Ben Goldstein,8
2005-01-01,Kirkland,Kirkland,WA,2,13:00:00,21:00:00,Ben Goldstein,8
2005-01-01,Kirkland,Kirkland,WA,2,13:00:00,21:00:00,Ben Goldstein,8
2005-01-01,Redmond,Redmond,WA,1,09:00:00,17:00:00,Lee Casts,8
2005-01-01,Redmond,Redmond,WA,1,09:00:00,17:00:00,Lee Casts,8
2005-01-01,Redmond,Redmond,WA,1,09:00:00,17:00:00,Lee Casts,8
2005-01-01,Redmond,Redmond,WA,1,09:00:00,17:00:00,Lee Casts,8
2005-01-01,Redmond,Redmond,WA,2,13:00:00,21:00:00,Ben Goldstein,8
2005-01-01,Redmond,Redmond,WA,2,13:00:00,21:00:00,Ben Goldstein,8
